log_key,log_template,log_text,label
36,[<:NUM:>.<:NUM:>] slab reclaimable:<:NUM:> slab unreclaimable:<:NUM:>,[.] slab reclaimable: slab unreclaimable:,True
37,[<:NUM:>.<:NUM:>] mapped:<:NUM:> shmem:<:NUM:> pagetables:<:NUM:> bounce:<:NUM:>,[.] mapped: shmem: pagetables: bounce:,True
38,[<:NUM:>.<:NUM:>] free:<:NUM:> free pcp:<:NUM:> free cma:<:NUM:>,[.] free: free pcp: free cma:,True
39,[<:NUM:>.<:NUM:>] Node <:NUM:> active anon:14144536kB inactive anon:1406324kB active file:776kB inactive file:772kB unevictable:18472kB isolated(anon):0kB isolated(file):0kB mapped:8764kB dirty:0kB writeback:0kB shmem:76kB shmem thp: 0kB shmem pmdmapped: 0kB anon thp: 4970496kB writeback tmp:0kB unstable:0kB all unreclaimable? no,[.] Node  active anon:14144536kB inactive anon:1406324kB active file:776kB inactive file:772kB unevictable:18472kB isolated(anon):0kB isolated(file):0kB mapped:8764kB dirty:0kB writeback:0kB shmem:76kB shmem thp: 0kB shmem pmdmapped: 0kB anon thp: 4970496kB writeback tmp:0kB unstable:0kB all unreclaimable? no,True
40,[<:NUM:>.<:NUM:>] Node <:NUM:> <:*:> <:*:> <:*:> <:*:> <:*:> active <:*:> inactive <:*:> active <:*:> inactive <:*:> <:*:> writepending:0kB <:*:> <:*:> <:*:> kernel <:*:> <:*:> bounce:0kB free <:*:> local <:*:> free cma:0kB,[.] Node       active  inactive  active  inactive   writepending:0kB    kernel   bounce:0kB free  local  free cma:0kB,True
41,[<:NUM:>.<:NUM:>] lowmem reserve[]: <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:>,[.] lowmem reserve[]:     ,True
42,[<:NUM:>.<:NUM:>] Node <:NUM:> DMA: <:NUM:>*4kB <:NUM:>*8kB (U) <:NUM:>*16kB (U) <:NUM:>*32kB (U) <:NUM:>*64kB (U) <:NUM:>*128kB (U) <:NUM:>*256kB (U) <:NUM:>*512kB <:NUM:>*1024kB (U) <:NUM:>*2048kB (M) <:NUM:>*4096kB (M) = 15864kB,[.] Node  DMA: *4kB *8kB (U) *16kB (U) *32kB (U) *64kB (U) *128kB (U) *256kB (U) *512kB *1024kB (U) *2048kB (M) *4096kB (M) = 15864kB,True
43,[<:NUM:>.<:NUM:>] Node <:NUM:> DMA32: <:NUM:>*4kB (UME) <:NUM:>*8kB (UE) <:NUM:>*16kB (UE) <:NUM:>*32kB (UME) <:NUM:>*64kB (UE) <:NUM:>*128kB (UE) <:NUM:>*256kB (UME) <:NUM:>*512kB (UE) <:NUM:>*1024kB (UME) <:NUM:>*2048kB <:NUM:>*4096kB = 63912kB,[.] Node  DMA32: *4kB (UME) *8kB (UE) *16kB (UE) *32kB (UME) *64kB (UE) *128kB (UE) *256kB (UME) *512kB (UE) *1024kB (UME) *2048kB *4096kB = 63912kB,True
44,[<:NUM:>.<:NUM:>] Node <:NUM:> Normal: <:NUM:>*4kB (UEH) <:NUM:>*8kB (UMEH) <:NUM:>*16kB (UEH) <:NUM:>*32kB (UMEH) <:NUM:>*64kB (UE) <:NUM:>*128kB (UME) <:NUM:>*256kB <:NUM:>*512kB <:NUM:>*1024kB <:NUM:>*2048kB <:NUM:>*4096kB = 54324kB,[.] Node  Normal: *4kB (UEH) *8kB (UMEH) *16kB (UEH) *32kB (UMEH) *64kB (UE) *128kB (UME) *256kB *512kB *1024kB *2048kB *4096kB = 54324kB,True
45,[<:NUM:>.<:NUM:>] Node <:NUM:> hugepages total=<:NUM:> hugepages free=<:NUM:> hugepages surp=<:NUM:> hugepages <:*:>,[.] Node  hugepages total= hugepages free= hugepages surp= hugepages ,True
46,[<:NUM:>.<:NUM:>] <:NUM:> <:*:> <:*:> <:*:>,[.]    ,True
47,[<:NUM:>.<:NUM:>] <:NUM:> pages in swap cache,[.]  pages in swap cache,True
48,"[<:NUM:>.<:NUM:>] Swap cache stats: add <:NUM:>, delete <:NUM:>, find <:NUM:>/<:NUM:>","[.] Swap cache stats: add , delete , find /",True
49,[<:NUM:>.<:NUM:>] <:*:> swap = <:*:>,[.]  swap = ,True
50,[<:NUM:>.<:NUM:>] Tasks state (memory values in pages):,[.] Tasks state (memory values in pages):,True
51,[<:NUM:>.<:NUM:>] [ pid ] uid tgid total vm rss pgtables bytes swapents oom score adj name,[.] [ pid ] uid tgid total vm rss pgtables bytes swapents oom score adj name,True
52,[<:NUM:>.<:NUM:>] [ <:NUM:>] <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:*:>,[.] [ ]        ,True
53,[<:NUM:>.<:NUM:>] [ <:NUM:>] <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> tmux: <:*:>,[.] [ ]        tmux: ,True
54,"[<:NUM:>.<:NUM:>] oom-kill:constraint=CONSTRAINT NONE,nodemask=(null),cpuset=/,mems allowed=<:NUM:>,global oom,task memcg=/user.slice/user-<:NUM:>.slice/session-<:NUM:>.scope,task=qemu-system-x86,pid=<:NUM:>,uid=<:NUM:>","[.] oom-kill:constraint=CONSTRAINT NONE,nodemask=(null),cpuset=/,mems allowed=,global oom,task memcg=/user.slice/user-.slice/session-.scope,task=qemu-system-x86,pid=,uid=",True
55,"[<:NUM:>.<:NUM:>] Out of memory: Killed process <:NUM:> (qemu-system-x86) total-vm:8973356kB, anon-rss:5561392kB, file-rss:1892kB, shmem-rss:0kB, UID:<:NUM:> pgtables:14180kB oom score adj:<:NUM:>","[.] Out of memory: Killed process  (qemu-system-x86) total-vm:8973356kB, anon-rss:5561392kB, file-rss:1892kB, shmem-rss:0kB, UID: pgtables:14180kB oom score adj:",True
56,br0: port <:*:> entered <:*:> state,br0: port  entered  state,False
57,device <:*:> entered promiscuous mode,device  entered promiscuous mode,False
58,IPv6: ADDRCONF(NETDEV CHANGE): <:*:> link becomes ready,IPv6: ADDRCONF(NETDEV CHANGE):  link becomes ready,False
59,"kvm [<:NUM:>]: vcpu0, guest rIP: <:HEX:> disabled perfctr wrmsr: <:HEX:> data <:HEX:>","kvm []: vcpu0, guest rIP: <:HEX:> disabled perfctr wrmsr: <:HEX:> data <:HEX:>",True
60,"qemu-system-x86 invoked oom-killer: gfp mask=<:HEX:>(GFP KERNEL ACCOUNT), order=<:NUM:>, oom score adj=<:NUM:>","qemu-system-x86 invoked oom-killer: gfp mask=<:HEX:>(GFP KERNEL ACCOUNT), order=, oom score adj=",True
61,CPU: <:NUM:> PID: <:NUM:> Comm: qemu-system-x86 Not tainted <:NUM:>.<:NUM:>.<:NUM:>-<:NUM:>-generic #<:NUM:>-Ubuntu,CPU:  PID:  Comm: qemu-system-x86 Not tainted ..--generic #-Ubuntu,True
62,"Hardware name: Hewlett-Packard HP Z620 Workstation/158A, BIOS J61 v03.<:NUM:> <:NUM:>/<:NUM:>/<:NUM:>","Hardware name: Hewlett-Packard HP Z620 Workstation/158A, BIOS J61 v03. //",True
63,Call Trace:,Call Trace:,True
64,dump <:*:>,dump ,True
65,oom kill process.cold+<:HEX:>/<:HEX:>,oom kill process.cold+<:HEX:>/<:HEX:>,True
66,out of memory+<:HEX:>/<:HEX:>,out of memory+<:HEX:>/<:HEX:>,True
67,alloc pages <:*:>,alloc pages ,True
68,? page counter try charge+<:HEX:>/<:HEX:>,? page counter try charge+<:HEX:>/<:HEX:>,True
69,get free pages+<:HEX:>/<:HEX:>,get free pages+<:HEX:>/<:HEX:>,True
70,mmu topup memory caches+<:HEX:>/<:HEX:> [kvm],mmu topup memory caches+<:HEX:>/<:HEX:> [kvm],True
71,tdp page fault+<:HEX:>/<:HEX:> [kvm],tdp page fault+<:HEX:>/<:HEX:> [kvm],True
72,kvm mmu page fault+<:HEX:>/<:HEX:> [kvm],kvm mmu page fault+<:HEX:>/<:HEX:> [kvm],True
73,handle ept violation+<:HEX:>/<:HEX:> [kvm intel],handle ept violation+<:HEX:>/<:HEX:> [kvm intel],True
74,vmx handle exit+<:HEX:>/<:HEX:> [kvm intel],vmx handle exit+<:HEX:>/<:HEX:> [kvm intel],True
75,vcpu enter guest+<:HEX:>/<:HEX:> [kvm],vcpu enter guest+<:HEX:>/<:HEX:> [kvm],True
76,? kvm apic local deliver+<:HEX:>/<:HEX:> [kvm],? kvm apic local deliver+<:HEX:>/<:HEX:> [kvm],True
77,kvm arch vcpu ioctl run+<:HEX:>/<:HEX:> [kvm],kvm arch vcpu ioctl run+<:HEX:>/<:HEX:> [kvm],True
78,kvm vcpu ioctl+<:HEX:>/<:HEX:> [kvm],kvm vcpu ioctl+<:HEX:>/<:HEX:> [kvm],True
79,? do futex+<:HEX:>/<:HEX:>,? do futex+<:HEX:>/<:HEX:>,True
80,do vfs ioctl+<:HEX:>/<:HEX:>,do vfs ioctl+<:HEX:>/<:HEX:>,True
81,ksys ioctl+<:HEX:>/<:HEX:>,ksys ioctl+<:HEX:>/<:HEX:>,True
82,x64 sys ioctl+<:HEX:>/<:HEX:>,x64 sys ioctl+<:HEX:>/<:HEX:>,True
83,do syscall <:NUM:>+<:HEX:>/<:HEX:>,do syscall +<:HEX:>/<:HEX:>,True
84,entry SYSCALL <:NUM:> after hwframe+<:HEX:>/<:HEX:>,entry SYSCALL  after hwframe+<:HEX:>/<:HEX:>,True
85,RIP: <:NUM:>:<:HEX:>,RIP: :<:HEX:>,True
86,Code: 0f 1e fa <:NUM:> 8b <:NUM:> e5 7a 0d <:NUM:> <:NUM:> c7 <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> c7 c0 ff ff ff ff c3 <:NUM:> 0f 1f <:NUM:> <:NUM:> <:NUM:> f3 0f 1e fa b8 <:NUM:> <:NUM:> <:NUM:> <:NUM:> 0f <:NUM:> <<:NUM:>> 3d <:NUM:> f0 ff ff <:NUM:> <:NUM:> c3 <:NUM:> 8b 0d b5 7a 0d <:NUM:> f7 d8 <:NUM:> <:NUM:> <:NUM:> <:NUM:>,Code: 0f 1e fa  8b  e5 7a 0d   c7       c7 c0 ff ff ff ff c3  0f 1f    f3 0f 1e fa b8     0f  <> 3d  f0 ff ff   c3  8b 0d b5 7a 0d  f7 d8    ,True
87,RSP: 002b:00007f50ec834ac8 EFLAGS: <:NUM:> ORIG RAX: <:SEQ:>,RSP: 002b:00007f50ec834ac8 EFLAGS:  ORIG RAX: ,True
88,RAX: ffffffffffffffda RBX: 000055845ca00b20 RCX: 00007f50eece33ab,RAX: ffffffffffffffda RBX: 000055845ca00b20 RCX: 00007f50eece33ab,True
89,RDX: <:SEQ:> RSI: 000000000000ae80 RDI: 000000000000000f,RDX:  RSI: 000000000000ae80 RDI: 000000000000000f,True
90,RBP: 00007f50ef14c000 R08: 000055845a9dc1f0 R09: 00000000000000ff,RBP: 00007f50ef14c000 R08: 000055845a9dc1f0 R09: 00000000000000ff,True
91,R10: <:SEQ:> R11: <:SEQ:> R12: <:SEQ:>,R10:  R11:  R12: ,True
92,R13: <:SEQ:> R14: 000055845acb2a80 R15: <:SEQ:>,R13:  R14: 000055845acb2a80 R15: ,True
93,Mem-Info:,Mem-Info:,True
94,active <:*:> inactive <:*:> isolated <:*:>,active  inactive  isolated ,True
95,unevictable:<:NUM:> dirty:<:NUM:> writeback:<:NUM:> unstable:<:NUM:>,unevictable: dirty: writeback: unstable:,True
96,slab reclaimable:<:NUM:> slab unreclaimable:<:NUM:>,slab reclaimable: slab unreclaimable:,True
97,mapped:<:NUM:> shmem:<:NUM:> pagetables:<:NUM:> bounce:<:NUM:>,mapped: shmem: pagetables: bounce:,True
98,free:<:NUM:> free pcp:<:NUM:> free cma:<:NUM:>,free: free pcp: free cma:,True
99,Node <:NUM:> active anon:14144536kB inactive anon:1406324kB active file:776kB inactive file:772kB unevictable:18472kB isolated(anon):0kB isolated(file):0kB mapped:8764kB dirty:0kB writeback:0kB shmem:76kB shmem thp: 0kB shmem pmdmapped: 0kB anon thp: 4970496kB writeback tmp:0kB unstable:0kB all unreclaimable? no,Node  active anon:14144536kB inactive anon:1406324kB active file:776kB inactive file:772kB unevictable:18472kB isolated(anon):0kB isolated(file):0kB mapped:8764kB dirty:0kB writeback:0kB shmem:76kB shmem thp: 0kB shmem pmdmapped: 0kB anon thp: 4970496kB writeback tmp:0kB unstable:0kB all unreclaimable? no,True
100,Node <:NUM:> <:*:> <:*:> <:*:> <:*:> <:*:> active <:*:> inactive <:*:> active <:*:> inactive <:*:> <:*:> writepending:0kB <:*:> <:*:> <:*:> kernel <:*:> <:*:> bounce:0kB free <:*:> local <:*:> free cma:0kB,Node       active  inactive  active  inactive   writepending:0kB    kernel   bounce:0kB free  local  free cma:0kB,True
101,lowmem reserve[]: <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:>,lowmem reserve[]:     ,True
102,Node <:NUM:> DMA: <:NUM:>*4kB <:NUM:>*8kB (U) <:NUM:>*16kB (U) <:NUM:>*32kB (U) <:NUM:>*64kB (U) <:NUM:>*128kB (U) <:NUM:>*256kB (U) <:NUM:>*512kB <:NUM:>*1024kB (U) <:NUM:>*2048kB (M) <:NUM:>*4096kB (M) = 15864kB,Node  DMA: *4kB *8kB (U) *16kB (U) *32kB (U) *64kB (U) *128kB (U) *256kB (U) *512kB *1024kB (U) *2048kB (M) *4096kB (M) = 15864kB,True
103,Node <:NUM:> DMA32: <:NUM:>*4kB (UME) <:NUM:>*8kB (UE) <:NUM:>*16kB (UE) <:NUM:>*32kB (UME) <:NUM:>*64kB (UE) <:NUM:>*128kB (UE) <:NUM:>*256kB (UME) <:NUM:>*512kB (UE) <:NUM:>*1024kB (UME) <:NUM:>*2048kB <:NUM:>*4096kB = 63912kB,Node  DMA32: *4kB (UME) *8kB (UE) *16kB (UE) *32kB (UME) *64kB (UE) *128kB (UE) *256kB (UME) *512kB (UE) *1024kB (UME) *2048kB *4096kB = 63912kB,True
104,Node <:NUM:> Normal: <:NUM:>*4kB (UEH) <:NUM:>*8kB (UMEH) <:NUM:>*16kB (UEH) <:NUM:>*32kB (UMEH) <:NUM:>*64kB (UE) <:NUM:>*128kB (UME) <:NUM:>*256kB <:NUM:>*512kB <:NUM:>*1024kB <:NUM:>*2048kB <:NUM:>*4096kB = 54324kB,Node  Normal: *4kB (UEH) *8kB (UMEH) *16kB (UEH) *32kB (UMEH) *64kB (UE) *128kB (UME) *256kB *512kB *1024kB *2048kB *4096kB = 54324kB,True
105,Node <:NUM:> hugepages total=<:NUM:> hugepages free=<:NUM:> hugepages surp=<:NUM:> hugepages <:*:>,Node  hugepages total= hugepages free= hugepages surp= hugepages ,True
106,<:NUM:> total pagecache pages, total pagecache pages,True
107,<:NUM:> pages in swap cache, pages in swap cache,True
108,"Swap cache stats: add <:NUM:>, delete <:NUM:>, find <:NUM:>/<:NUM:>","Swap cache stats: add , delete , find /",True
109,Free swap = 0kB,Free swap = 0kB,True
110,Total swap = 4194300kB,Total swap = 4194300kB,True
111,<:NUM:> pages <:*:>, pages ,True
112,<:NUM:> pages cma reserved, pages cma reserved,True
113,Tasks state (memory values in pages):,Tasks state (memory values in pages):,True
114,[ pid ] uid tgid total vm rss pgtables bytes swapents oom score adj name,[ pid ] uid tgid total vm rss pgtables bytes swapents oom score adj name,True
115,[ <:NUM:>] <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:*:>,[ ]        ,True
116,[ <:NUM:>] <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> tmux: <:*:>,[ ]        tmux: ,True
117,"oom-kill:constraint=CONSTRAINT NONE,nodemask=(null),cpuset=/,mems allowed=<:NUM:>,global oom,task memcg=/user.slice/user-<:NUM:>.slice/session-<:NUM:>.scope,task=qemu-system-x86,pid=<:NUM:>,uid=<:NUM:>","oom-kill:constraint=CONSTRAINT NONE,nodemask=(null),cpuset=/,mems allowed=,global oom,task memcg=/user.slice/user-.slice/session-.scope,task=qemu-system-x86,pid=,uid=",True
118,"Out of memory: Killed process <:NUM:> (qemu-system-x86) total-vm:8973356kB, anon-rss:5561392kB, file-rss:1892kB, shmem-rss:0kB, UID:<:NUM:> pgtables:14180kB oom score adj:<:NUM:>","Out of memory: Killed process  (qemu-system-x86) total-vm:8973356kB, anon-rss:5561392kB, file-rss:1892kB, shmem-rss:0kB, UID: pgtables:14180kB oom score adj:",True
119,debug: /dev/sda1 is a FAT32 partition,debug: /dev/sda1 is a FAT32 partition,True
120,debug: /dev/sda1 partition <:*:> is <:*:>,debug: /dev/sda1 partition  is ,True
121,debug: running subtest <:*:>,debug: running subtest ,True
122,debug: /dev/sda1 is not <:*:> <:*:> partition: exiting,debug: /dev/sda1 is not   partition: exiting,True
123,debug: Skipping legacy bootloaders on UEFI system,debug: Skipping legacy bootloaders on UEFI system,True
124,* Strictly confined Kubernetes makes edge and IoT secure. Learn how MicroK8s,* Strictly confined Kubernetes makes edge and IoT secure. Learn how MicroK8s,False
125,"just raised the bar for easy, resilient and secure K8s cluster deployment.","just raised the bar for easy, resilient and secure K8s cluster deployment.",False
126,https://ubuntu.com/engage/secure-kubernetes-at-the-edge,https://ubuntu.com/engage/secure-kubernetes-at-the-edge,False
127,started daemon version <:NUM:>.<:NUM:>.<:NUM:>,started daemon version ..,False
128,pam <:*:> session opened for user <:*:> by <:*:>,pam  session opened for user  by ,False
129,(root) CMD ( cd / && run-parts --report /etc/cron.hourly),(root) CMD ( cd / && run-parts --report /etc/cron.hourly),False
130,pam <:*:> session closed for user <:*:>,pam  session closed for user ,False
131,"[system] Activating via systemd: service <:*:> <:*:> requested by ':<:NUM:>.<:NUM:>' (uid=<:NUM:> pid=<:NUM:> <:*:> "" label=""unconfined"")","[system] Activating via systemd: service   requested by ':.' (uid= pid=  "" label=""unconfined"")",False
132,[system] Successfully activated service <:*:>,[system] Successfully activated service ,False
133,"[system] Activating via systemd: service name='org.freedesktop.PackageKit' unit='packagekit.service' requested by ':<:NUM:>.<:NUM:>' (uid=<:NUM:> pid=<:NUM:> comm=""/usr/bin/gdbus call --system --dest org.freedeskto"" label=""unconfined"")","[system] Activating via systemd: service name='org.freedesktop.PackageKit' unit='packagekit.service' requested by ':.' (uid= pid= comm=""/usr/bin/gdbus call --system --dest org.freedeskto"" label=""unconfined"")",False
134,"Unknown group ""power"" in message bus configuration file","Unknown group ""power"" in message bus configuration file",True
135,[system] Reloaded configuration,[system] Reloaded configuration,False
136,"[ <:NUM:>.<:NUM:>] SGI XFS with ACLs, security attributes, realtime, no debug enabled","[ .] SGI XFS with ACLs, security attributes, realtime, no debug enabled",False
137,"[ <:NUM:>.<:NUM:>] JFS: nTxBlock = <:NUM:>, nTxLock = <:NUM:>","[ .] JFS: nTxBlock = , nTxLock = ",False
138,[ <:NUM:>.<:NUM:>] ntfs: driver <:NUM:>.<:NUM:>.<:NUM:> [Flags: R/O MODULE].,[ .] ntfs: driver .. [Flags: R/O MODULE].,False
139,[ <:NUM:>.<:NUM:>] QNX4 filesystem <:NUM:>.<:NUM:>.<:NUM:> registered.,[ .] QNX4 filesystem .. registered.,False
140,[ <:NUM:>.<:NUM:>] <:*:> <:*:> <:*:> <:NUM:> callbacks suppressed,[ .]     callbacks suppressed,False
141,"[ <:NUM:>.<:NUM:>] audit: type=<:NUM:> audit(<:NUM:>.<:NUM:>:<:NUM:>): apparmor=""STATUS"" operation=""profile <:*:> profile=""unconfined"" <:*:> pid=<:NUM:> comm=""apparmor parser""","[ .] audit: type= audit(.:): apparmor=""STATUS"" operation=""profile  profile=""unconfined""  pid= comm=""apparmor parser""",False
142,"[ <:NUM:>.<:NUM:>] audit: type=<:NUM:> audit(<:NUM:>.<:NUM:>:<:NUM:>): apparmor=""STATUS"" operation=""profile replace"" info=""same as current profile, skipping"" profile=""unconfined"" <:*:> pid=<:NUM:> comm=""apparmor parser""","[ .] audit: type= audit(.:): apparmor=""STATUS"" operation=""profile replace"" info=""same as current profile, skipping"" profile=""unconfined""  pid= comm=""apparmor parser""",False
143,[ <:NUM:>.<:NUM:>] br0: port <:*:> entered <:*:> state,[ .] br0: port  entered  state,False
144,[ <:NUM:>.<:NUM:>] device <:*:> <:*:> promiscuous mode,[ .] device   promiscuous mode,False
145,[ <:NUM:>.<:NUM:>] IPv6: ADDRCONF(NETDEV CHANGE): <:*:> link becomes ready,[ .] IPv6: ADDRCONF(NETDEV CHANGE):  link becomes ready,False
146,"[ <:NUM:>.<:NUM:>] kvm [<:NUM:>]: vcpu0, guest rIP: <:HEX:> disabled perfctr wrmsr: <:HEX:> data <:HEX:>","[ .] kvm []: vcpu0, guest rIP: <:HEX:> disabled perfctr wrmsr: <:HEX:> data <:HEX:>",False
147,[<:NUM:>.<:NUM:>] INFO: task qemu-system-x86:<:NUM:> blocked for more than <:NUM:> seconds.,[.] INFO: task qemu-system-x86: blocked for more than  seconds.,True
148,[<:NUM:>.<:NUM:>] Not tainted <:NUM:>.<:NUM:>.<:NUM:>-<:NUM:>-generic #<:NUM:>-Ubuntu,[.] Not tainted ..--generic #-Ubuntu,True
149,"[<:NUM:>.<:NUM:>] ""echo <:NUM:> > /proc/sys/kernel/hung task timeout secs"" disables this message.","[.] ""echo  > /proc/sys/kernel/hung task timeout secs"" disables this message.",True
150,[<:NUM:>.<:NUM:>] qemu-system-x86 D <:NUM:> <:NUM:> <:NUM:> <:HEX:>,[.] qemu-system-x86 D    <:HEX:>,True
151,[<:NUM:>.<:NUM:>] ? <:*:> <:*:> <:*:>,[.] ?   ,True
152,[<:NUM:>.<:NUM:>] io schedule+<:HEX:>/<:HEX:>,[.] io schedule+<:HEX:>/<:HEX:>,True
153,[<:NUM:>.<:NUM:>] bit wait io+<:HEX:>/<:HEX:>,[.] bit wait io+<:HEX:>/<:HEX:>,True
154,[<:NUM:>.<:NUM:>] wait on bit+<:HEX:>/<:HEX:>,[.] wait on bit+<:HEX:>/<:HEX:>,True
